supplier_invoice;supplier_registery;TVA
sd_worx;sd_worx;LU19477139
separc;separc;LU17639800
solelec;solelec;LU16946913
steinhauser;steinhauser;20082239260
stoll;stoll;LU19306019
strauss;strauss;*********
syndicat_d_initiative_et_du_tourisme;syndicat_d_initiative_et_du_tourisme;LU730019500008516000
sudstroum;sudstroum;LU21976928
sudenergie;sudenergie;LU320026185595897600
service impositions communales;service impositions communales;*********
spuerkeess;spuerkeess;LU11408778
tango;tango;LU15605033
taxes_communales;taxes_communales;LU10286570
taxes_communales;taxes_communales;LU10286570
taxes_communales_dechets_vdl;taxes_communales_dechets_vdl;LU9801415100
taxes_communales_grand_duche;taxes_communales_grand_duche;LU10286570
taxes_communales_differdange;taxes_communales_differdange;LU10284954
service_eaux;service_eaux;LU10355144
taxe_communale_eau_theatre;taxe_communale_eau_theatre;eau-guichets@vdl.lu
taxe_communale_eau_theatre;taxe_communale_eau_theatre;LU10355144
tk_elevator;tk_elevator;LU13312267
tracing;tracing_lu;LU23737108
Service_biens_communaux;Service_biens_communaux;biens@vdl.lu
société_nationale_de_controle_technique;société_nationale_de_controle_technique;LU391111700891660000
socom;socom;LU16208516
uncos;uncos;LU23553238
vitralux;vitralux;LU181639
vigicore;vigicore;LU21992809
vitheo;vitheo;20042407462
voltige;voltige;LU16857307
westeifel;westeifel;www.westeifel-werke.de
wurth;wurth;*************
worldline;worldline;lU23138978
yunex;yunex;LU33078763
